,Buurten,level_of_income,Year,value
1311,Ginneken, High income,2019,"41,0"
1312,Mastbos, High income,2019,"44,0"
1313,Boeimeer, High income,2019,"31,0"
1314,Ruitersbos, High income,2019,"35,0"
1315,Haagpoort, High income,2019,"14,0"
1316,Heuvel, High income,2019,"9,0"
1317,Tuinzigt, High income,2019,"6,0"
1318,Princenhage, High income,2019,"22,0"
1319,Westerpark, High income,2019,"34,0"
1320,Heilaar, High income,2019,"55,0"
1321,Hazeldonk, High income,2019,?
1322,Steenakker, High income,2019,"13,0"
1323,Effen-Rith, High income,2019,"45,0"
1324,Liesbos, High income,2019,"48,0"
1325,Gageldonk, High income,2019,"18,0"
1326,Kievitsloop, High income,2019,"20,0"
1327,Kesteren, High income,2019,"13,0"
1328,Muizenberg, High income,2019,"21,0"
1329,Heksenwiel, High income,2019,"26,0"
1330,Overkroeten, High income,2019,"31,0"
1331,Kroeten, High income,2019,"30,0"
1332,Emer, High income,2019,?
1333,Hagebeemd, High income,2019,?
1334,Bavel, High income,2019,"33,0"
1335,Nieuw Wolfslaar, High income,2019,"50,0"
1336,Buitengebied Bavel, High income,2019,"58,0"
1337,Ulvenhout, High income,2019,"37,0"
1338,Buitengebied Ulvenhout, High income,2019,"39,0"
1339,Prinsenbeek, High income,2019,"32,0"
1340,Buitengebied Prinsenbeek, High income,2019,"45,0"
1341,Teteringen, High income,2019,"36,0"
1342,Vuchtpolder, High income,2019,?
1343,Buitengebied Teteringen, High income,2019,?
1344,Valkenberg, High income,2020,"10,0"
1345,Chassé, High income,2020,"18,0"
1346,Fellenoord, High income,2020,"4,0"
1347,Schorsmolen, High income,2020,"4,0"
1348,Station, High income,2020,"14,0"
1349,City, High income,2020,"11,0"
1350,Belcrum, High income,2020,"27,0"
1351,Doornbos-Linie, High income,2020,"9,0"
1352,Biesdonk, High income,2020,"7,0"
1353,Geeren-zuid, High income,2020,"4,0"
1354,Wisselaar, High income,2020,"7,0"
1355,Krogten, High income,2020,"21,0"
1356,Geeren-noord, High income,2020,"7,0"
1357,Waterdonken, High income,2020,"39,0"
1358,Brabantpark, High income,2020,"12,0"
1359,Sportpark, High income,2020,"31,0"
1360,Zandberg, High income,2020,"34,0"
1361,Heusdenhout, High income,2020,"17,0"
1362,Moleneind-oost, High income,2020,?
1363,Hoogeind, High income,2020,?
1364,Blauwe Kei, High income,2020,"27,0"
1365,Ypelaar, High income,2020,"16,0"
1366,Overakker, High income,2020,"25,0"
1367,Ginneken, High income,2020,"40,0"
1368,Mastbos, High income,2020,"44,0"
1369,Boeimeer, High income,2020,"31,0"
1370,Ruitersbos, High income,2020,"34,0"
1371,Haagpoort, High income,2020,"14,0"
1372,Heuvel, High income,2020,"10,0"
1373,Tuinzigt, High income,2020,"7,0"
1374,Princenhage, High income,2020,"22,0"
1375,Westerpark, High income,2020,"35,0"
1376,Heilaar, High income,2020,"55,0"
1377,Hazeldonk, High income,2020,?
1378,Steenakker, High income,2020,"14,0"
1379,Effen-Rith, High income,2020,"43,0"
1380,Liesbos, High income,2020,"48,0"
1381,Gageldonk, High income,2020,"19,0"
1382,Kievitsloop, High income,2020,"19,0"
1383,Kesteren, High income,2020,"13,0"
1384,Muizenberg, High income,2020,"21,0"
1385,Heksenwiel, High income,2020,"26,0"
1386,Overkroeten, High income,2020,"31,0"
1387,Kroeten, High income,2020,"32,0"
1388,Emer, High income,2020,?
1389,Hagebeemd, High income,2020,?
1390,Bavel, High income,2020,"32,0"
1391,Nieuw Wolfslaar, High income,2020,"49,0"
1392,Buitengebied Bavel, High income,2020,"57,0"
1393,Ulvenhout, High income,2020,"36,0"
1394,Buitengebied Ulvenhout, High income,2020,"39,0"
1395,Prinsenbeek, High income,2020,"32,0"
1396,Buitengebied Prinsenbeek, High income,2020,"47,0"
1397,Teteringen, High income,2020,"35,0"
1398,Vuchtpolder, High income,2020,?
1399,Buitengebied Teteringen, High income,2020,?
1400,Valkenberg, High income,2021,"11,0"
1401,Chassé, High income,2021,"17,0"
1402,Fellenoord, High income,2021,"4,0"
1403,Schorsmolen, High income,2021,"4,0"
1404,Station, High income,2021,"13,0"
1405,City, High income,2021,"10,0"
1406,Belcrum, High income,2021,"28,0"
1407,Doornbos-Linie, High income,2021,"11,0"
1408,Biesdonk, High income,2021,"8,0"
1409,Geeren-zuid, High income,2021,"5,0"
1410,Wisselaar, High income,2021,"8,0"
1411,Krogten, High income,2021,?
1412,Geeren-noord, High income,2021,"8,0"
1413,Waterdonken, High income,2021,"39,0"
1414,Brabantpark, High income,2021,"13,0"
1415,Sportpark, High income,2021,"31,0"
1416,Zandberg, High income,2021,"35,0"
1417,Heusdenhout, High income,2021,"18,0"
1418,Moleneind-oost, High income,2021,?
1419,Hoogeind, High income,2021,?
1420,Blauwe Kei, High income,2021,"29,0"
1421,Ypelaar, High income,2021,"16,0"
1422,Overakker, High income,2021,"26,0"
1423,Ginneken, High income,2021,"39,0"
1424,Mastbos, High income,2021,"49,0"
1425,Boeimeer, High income,2021,"31,0"
1426,Ruitersbos, High income,2021,"34,0"
1427,Haagpoort, High income,2021,"15,0"
1428,Heuvel, High income,2021,"10,0"
1429,Tuinzigt, High income,2021,"7,0"
1430,Princenhage, High income,2021,"23,0"
1431,Westerpark, High income,2021,"34,0"
1432,Heilaar, High income,2021,"56,0"
1433,Hazeldonk, High income,2021,?
1434,Steenakker, High income,2021,"14,0"
1435,Effen-Rith, High income,2021,"44,0"
1436,Liesbos, High income,2021,"48,0"
1437,Gageldonk, High income,2021,"18,0"
1438,Kievitsloop, High income,2021,"20,0"
1439,Kesteren, High income,2021,"13,0"
1440,Muizenberg, High income,2021,"20,0"
1441,Heksenwiel, High income,2021,"25,0"
1442,Overkroeten, High income,2021,"30,0"
1443,Kroeten, High income,2021,"31,0"
1444,Emer, High income,2021,?
1445,Hagebeemd, High income,2021,?
1446,Bavel, High income,2021,"33,0"
1447,Nieuw Wolfslaar, High income,2021,"48,0"
1448,Buitengebied Bavel, High income,2021,"58,0"
1449,Ulvenhout, High income,2021,"36,0"
1450,Buitengebied Ulvenhout, High income,2021,"44,0"
1451,Prinsenbeek, High income,2021,"32,0"
1452,Buitengebied Prinsenbeek, High income,2021,"47,0"
1453,Teteringen, High income,2021,"35,0"
1454,Vuchtpolder, High income,2021,?
1455,Buitengebied Teteringen, High income,2021,?
